,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
3477,George Clooney,Tate Donovan,Biography Drama History,Robert Downey Jr.,"Good Night, and Good Luck.",Alex Borstein,George Clooney Tate Donovan Robert Downey Jr. Biography Drama History Alex Borstein
3478,Bennett Miller,Michael J. Burg,Biography Crime Drama,Philip Seymour Hoffman,Capote,Kwesi Ameyaw,Bennett Miller Michael J. Burg Philip Seymour Hoffman Biography Crime Drama Kwesi Ameyaw
3479,Robert Rodriguez,Steve Buscemi,Action Crime Thriller,Quentin Tarantino,Desperado,Salma Hayek,Robert Rodriguez Steve Buscemi Quentin Tarantino Action Crime Thriller Salma Hayek
3480,Michael Winterbottom,Sarah Polley,Drama Romance Western,Milla Jovovich,The Claim,Shirley Henderson,Michael Winterbottom Sarah Polley Milla Jovovich Drama Romance Western Shirley Henderson
3482,Michael Anderson,Jenny Agutter,Action Adventure Sci-Fi,Farrah Fawcett,Logan's Run,Peter Ustinov,Michael Anderson Jenny Agutter Farrah Fawcett Action Adventure Sci-Fi Peter Ustinov
3483,Guy Hamilton,Hervé Villechaize,Action Adventure Thriller,Christopher Lee,The Man with the Golden Gun,Desmond Llewelyn,Guy Hamilton Hervé Villechaize Christopher Lee Action Adventure Thriller Desmond Llewelyn
3484,Craig R. Baxley,Vanity,Action Comedy Crime Thriller,Bill Duke,Action Jackson,Carl Weathers,Craig R. Baxley Vanity Bill Duke Action Comedy Crime Thriller Carl Weathers
3485,Neil Marshall,Shauna Macdonald,Adventure Horror Thriller,MyAnna Buring,The Descent,Craig Conway,Neil Marshall Shauna Macdonald MyAnna Buring Adventure Horror Thriller Craig Conway
3486,Don Kempf,Michael Jordan,Documentary Sport,Bill Murray,Michael Jordan to the Max,Bob Costas,Don Kempf Michael Jordan Bill Murray Documentary Sport Bob Costas
3487,Matt Bettinelli-Olpin,Allison Miller,Horror Mystery,Zach Gilford,Devil's Due,Vanessa Ray,Matt Bettinelli-Olpin Allison Miller Zach Gilford Horror Mystery Vanessa Ray
3488,David O. Russell,Mary Tyler Moore,Comedy,Lily Tomlin,Flirting with Disaster,David Patrick Kelly,David O. Russell Mary Tyler Moore Lily Tomlin Comedy David Patrick Kelly
3489,Rob Zombie,Ken Foree,Crime Horror,Sid Haig,The Devil's Rejects,Lew Temple,Rob Zombie Ken Foree Sid Haig Crime Horror Lew Temple
3491,Rick Famuyiwa,Rick Fox,Comedy Crime Drama,Kimberly Elise,Dope,Kiersey Clemons,Rick Famuyiwa Rick Fox Kimberly Elise Comedy Crime Drama Kiersey Clemons
3492,Michael Rymer,Omar Epps,Crime Drama Thriller,LL Cool J,In Too Deep,Nia Long,Michael Rymer Omar Epps LL Cool J Crime Drama Thriller Nia Long
3493,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,Skyfall,Rory Kinnear,Sam Mendes Helen McCrory Albert Finney Action Adventure Thriller Rory Kinnear
3494,Rob Zombie,Matthew McGrory,Horror,Sid Haig,House of 1000 Corpses,Erin Daniels,Rob Zombie Matthew McGrory Sid Haig Horror Erin Daniels
3495,Sharron Miller,Elizabeth MacRae,Horror,Bernard Fox,Alien Zone,Charles Aidman,Sharron Miller Elizabeth MacRae Bernard Fox Horror Charles Aidman
3496,Ethan Coen,Fred Melamed,Comedy Drama,Michael Stuhlbarg,A Serious Man,Peter Breitmayer,Ethan Coen Fred Melamed Michael Stuhlbarg Comedy Drama Peter Breitmayer
3497,Aaron Schneider,Robert Duvall,Drama Mystery,Bill Murray,Get Low,Bill Cobbs,Aaron Schneider Robert Duvall Bill Murray Drama Mystery Bill Cobbs
3498,Steve Miner,Richard E. Grant,Action Fantasy Horror Thriller,Julian Sands,Warlock,Lori Singer,Steve Miner Richard E. Grant Julian Sands Action Fantasy Horror Thriller Lori Singer
3499,Gina Prince-Bythewood,Nate Parker,Drama Music,Minnie Driver,Beyond the Lights,Darryl Stephens,Gina Prince-Bythewood Nate Parker Minnie Driver Drama Music Darryl Stephens
3500,Tom Ford,Teddy Sears,Drama Romance,Colin Firth,A Single Man,Keri Lynn Pratt,Tom Ford Teddy Sears Colin Firth Drama Romance Keri Lynn Pratt
3501,Martin Scorsese,Barbara Hershey,Drama,Irvin Kershner,The Last Temptation of Christ,Roberts Blossom,Martin Scorsese Barbara Hershey Irvin Kershner Drama Roberts Blossom
3502,Michael Corrente,George Wendt,Comedy Drama Romance,Jonathan Brandis,Outside Providence,Shawn Hatosy,Michael Corrente George Wendt Jonathan Brandis Comedy Drama Romance Shawn Hatosy
3503,Gurinder Chadha,Martin Henderson,Comedy Drama Musical Romance,Indira Varma,Bride & Prejudice,Anupam Kher,Gurinder Chadha Martin Henderson Indira Varma Comedy Drama Musical Romance Anupam Kher
3504,Phillip Noyce,David Gulpilil,Adventure Biography Drama History,Roy Billing,Rabbit-Proof Fence,Deborah Mailman,Phillip Noyce David Gulpilil Roy Billing Adventure Biography Drama History Deborah Mailman
3505,Don Michael Paul,Faizon Love,Comedy Sport,Jeffrey Jones,Who's Your Caddy?,Lil' Wayne,Don Michael Paul Faizon Love Jeffrey Jones Comedy Sport Lil' Wayne
3506,Tony Maylam,Alun Armstrong,Action Crime Horror Sci-Fi Thriller,Michael J. Pollard,Split Second,Alastair Duncan,Tony Maylam Alun Armstrong Michael J. Pollard Action Crime Horror Sci-Fi Thriller Alastair Duncan
3508,Mitch Davis,Nathaniel Lees,Adventure Biography Drama,Anne Hathaway,The Other Side of Heaven,Miriama Smith,Mitch Davis Nathaniel Lees Anne Hathaway Adventure Biography Drama Miriama Smith
3510,Yash Chopra,Preity Zinta,Drama Musical Romance,Shah Rukh Khan,Veer-Zaara,Anupam Kher,Yash Chopra Preity Zinta Shah Rukh Khan Drama Musical Romance Anupam Kher
3511,David Mamet,Randy Couture,Drama Sport,Alice Braga,Redbelt,Jose Pablo Cantillo,David Mamet Randy Couture Alice Braga Drama Sport Jose Pablo Cantillo
3512,Jay Duplass,Tim Guinee,Comedy Drama Romance,Matt Walsh,Cyrus,Katie Aselton,Jay Duplass Tim Guinee Matt Walsh Comedy Drama Romance Katie Aselton
3513,Kevin Brodie,Cheryl Ladd,Drama Family,Bruce McGill,A Dog of Flanders,Jack Warden,Kevin Brodie Cheryl Ladd Bruce McGill Drama Family Jack Warden
3514,Paul Schrader,Michael McKean,Biography Crime Drama,Ed Begley Jr.,Auto Focus,Kurt Fuller,Paul Schrader Michael McKean Ed Begley Jr. Biography Crime Drama Kurt Fuller
3515,George Hickenlooper,Jimmy Fallon,Biography Drama,Hayden Christensen,Factory Girl,Beth Grant,George Hickenlooper Jimmy Fallon Hayden Christensen Biography Drama Beth Grant
3516,Lynne Ramsay,Siobhan Fallon Hogan,Drama Thriller,Ezra Miller,We Need to Talk About Kevin,Ashley Gerasimovich,Lynne Ramsay Siobhan Fallon Hogan Ezra Miller Drama Thriller Ashley Gerasimovich
3517,John Stephenson,Hans Matheson,Drama Family,Samantha Barks,The Christmas Candle,Lesley Manville,John Stephenson Hans Matheson Samantha Barks Drama Family Lesley Manville
3518,Tim Chambers,Marley Shelton,Drama Sport,Ellen Burstyn,The Mighty Macs,Jennifer Butler,Tim Chambers Marley Shelton Ellen Burstyn Drama Sport Jennifer Butler
3519,Curtis Hanson,Shelley Long,Comedy Drama Family,Tom Cruise,Losin' It,Rick Rossovich,Curtis Hanson Shelley Long Tom Cruise Comedy Drama Family Rick Rossovich
3520,Rodrigo García,Jimmy Smits,Drama Romance,Naomi Watts,Mother and Child,Carla Gallo,Rodrigo García Jimmy Smits Naomi Watts Drama Romance Carla Gallo
3521,Dick Richards,Terence Hill,Adventure Drama Romance War,Catherine Deneuve,March or Die,Jack O'Halloran,Dick Richards Terence Hill Catherine Deneuve Adventure Drama Romance War Jack O'Halloran
3522,Jean-Marie Poiré,Isabelle Nanty,Comedy Fantasy Sci-Fi,Christian Clavier,Les visiteurs,Valérie Lemercier,Jean-Marie Poiré Isabelle Nanty Christian Clavier Comedy Fantasy Sci-Fi Valérie Lemercier
3523,Sofia Coppola,Chris Pontius,Comedy Drama,Nathalie Fay,Somewhere,Erin Wasson,Sofia Coppola Chris Pontius Nathalie Fay Comedy Drama Erin Wasson
3524,Bob Gosse,Susie Abromeit,Comedy,Geoff Stults,I Hope They Serve Beer in Hell,Derek Wayne Johnson,Bob Gosse Susie Abromeit Geoff Stults Comedy Derek Wayne Johnson
3525,Alex Zamm,Raquel Welch,Comedy,Taylor Negron,Chairman of the Board,Larry Miller,Alex Zamm Raquel Welch Taylor Negron Comedy Larry Miller
3526,Spencer Susser,Natalie Portman,Drama,Joseph Gordon-Levitt,Hesher,Rainn Wilson,Spencer Susser Natalie Portman Joseph Gordon-Levitt Drama Rainn Wilson
3527,Richard Shepard,Mark Wingett,Comedy Crime Drama,Richard E. Grant,Dom Hemingway,Richard Graham,Richard Shepard Mark Wingett Richard E. Grant Comedy Crime Drama Richard Graham
3529,Thaddeus O'Sullivan,Luke Newberry,Drama Romance,Olivia Williams,The Heart of Me,Eleanor Bron,Thaddeus O'Sullivan Luke Newberry Olivia Williams Drama Romance Eleanor Bron
3530,Peter Sollett,Josh Charles,Biography Drama Romance,Steve Carell,Freeheld,Luke Grimes,Peter Sollett Josh Charles Steve Carell Biography Drama Romance Luke Grimes
3531,Shari Springer Berman,Marian Seldes,Comedy,Lynn Cohen,The Extra Man,Dan Hedaya,Shari Springer Berman Marian Seldes Lynn Cohen Comedy Dan Hedaya
3532,Aleksey German,Yuriy Tsurilo,Drama Sci-Fi,Leonid Yarmolnik,Hard to Be a God,Valentin Golubenko,Aleksey German Yuriy Tsurilo Leonid Yarmolnik Drama Sci-Fi Valentin Golubenko
3533,Stephen Milburn Anderson,Mike Starr,Comedy Crime Thriller,Chris Hemsworth,Ca$h,Paul Sanchez,Stephen Milburn Anderson Mike Starr Chris Hemsworth Comedy Crime Thriller Paul Sanchez
3534,Richard E. Grant,Julie Walters,Drama,Emily Watson,Wah-Wah,Miranda Richardson,Richard E. Grant Julie Walters Emily Watson Drama Miranda Richardson
3535,Troy Duffy,David Della Rocco,Action Crime Thriller,Norman Reedus,The Boondock Saints,Bob Marley,Troy Duffy David Della Rocco Norman Reedus Action Crime Thriller Bob Marley
3536,David Lam,Louis Koo,Action Crime,Michael Wong,Z Storm,Stephen Au,David Lam Louis Koo Michael Wong Action Crime Stephen Au
3537,Francis Ford Coppola,Bruce Dern,Comedy Fantasy Horror Mystery,Alden Ehrenreich,Twixt,Joanne Whalley,Francis Ford Coppola Bruce Dern Alden Ehrenreich Comedy Fantasy Horror Mystery Joanne Whalley
3538,Vladlen Barbe,Wendee Lee,Adventure Animation Family,Erin Fitzgerald,Snow Queen,Ivan Okhlobystin,Vladlen Barbe Wendee Lee Erin Fitzgerald Adventure Animation Family Ivan Okhlobystin
3539,Richard Rich,Kate Higgins,Action Adventure Animation Comedy Drama Family Fantasy Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave,Cindy Robinson,Richard Rich Kate Higgins Debi Derryberry Action Adventure Animation Comedy Drama Family Fantasy Thriller Cindy Robinson
3540,Clint Eastwood,Chris Penn,Western,Clint Eastwood,Pale Rider,Sydney Penny,Clint Eastwood Chris Penn Clint Eastwood Western Sydney Penny
3541,Robert C. Cooper,Christopher Judge,Action Adventure Drama Fantasy Sci-Fi,Ben Browder,Stargate: The Ark of Truth,Julian Sands,Robert C. Cooper Christopher Judge Ben Browder Action Adventure Drama Fantasy Sci-Fi Julian Sands
3542,Richard Linklater,Adam Goldberg,Comedy,Milla Jovovich,Dazed and Confused,Cole Hauser,Richard Linklater Adam Goldberg Milla Jovovich Comedy Cole Hauser
3543,Kenny Ortega,Corbin Bleu,Comedy Drama Family Music Musical Romance,Lucas Grabeel,High School Musical 2,Olesya Rulin,Kenny Ortega Corbin Bleu Lucas Grabeel Comedy Drama Family Music Musical Romance Olesya Rulin
3544,Kim Nguyen,Justin Edward Seale,Drama Romance,Gordon Pinsent,Two Lovers and a Bear,John Ralston,Kim Nguyen Justin Edward Seale Gordon Pinsent Drama Romance John Ralston
3545,Jackie Earle Haley,Edi Gathegi,Crime Drama Thriller,Rex Baker,Criminal Activities,Travis Aaron Wade,Jackie Earle Haley Edi Gathegi Rex Baker Crime Drama Thriller Travis Aaron Wade
3546,Max Färberböck,Johanna Wokalek,Biography Drama Romance War,Heike Makatsch,Aimee & Jaguar,Maria Schrader,Max Färberböck Johanna Wokalek Heike Makatsch Biography Drama Romance War Maria Schrader
3547,Arie Posin,John Heard,Comedy Drama,Rory Culkin,The Chumscrubber,Tim DeKay,Arie Posin John Heard Rory Culkin Comedy Drama Tim DeKay
3548,Damian Nieman,Jason Cerbone,Crime Thriller,Glenn Plummer,Shade,Mark De Alessandro,Damian Nieman Jason Cerbone Glenn Plummer Crime Thriller Mark De Alessandro
3549,Mark Tonderai,Nolan Gerard Funk,Drama Horror Thriller,Jennifer Lawrence,House at the End of the Street,Gil Bellows,Mark Tonderai Nolan Gerard Funk Jennifer Lawrence Drama Horror Thriller Gil Bellows
3550,Denis Villeneuve,Mélissa Désormeaux-Poulin,Drama Mystery War,Lubna Azabal,Incendies,Ahmad Massad,Denis Villeneuve Mélissa Désormeaux-Poulin Lubna Azabal Drama Mystery War Ahmad Massad
3551,Gabriele Muccino,Silvio Muccino,Comedy Drama Romance,Laura Morante,"Remember Me, My Love",Giulia Michelini,Gabriele Muccino Silvio Muccino Laura Morante Comedy Drama Romance Giulia Michelini
3552,Ian Fitzgibbon,Brendan Coyle,Action Comedy Crime Drama Romance Thriller,Jim Broadbent,Perrier's Bounty,Michael McElhatton,Ian Fitzgibbon Brendan Coyle Jim Broadbent Action Comedy Crime Drama Romance Thriller Michael McElhatton
3553,José Padilha,Fernanda Machado,Action Crime Drama Thriller,Wagner Moura,Elite Squad,André Ramiro,José Padilha Fernanda Machado Wagner Moura Action Crime Drama Thriller André Ramiro
3554,John R. Leonetti,Annabelle Wallis,Horror Mystery,Alfre Woodard,Annabelle,Gabriel Bateman,John R. Leonetti Annabelle Wallis Alfre Woodard Horror Mystery Gabriel Bateman
3555,Rachel Perkins,Magda Szubanski,Comedy Drama Musical,Deborah Mailman,Bran Nue Dae,Jessica Mauboy,Rachel Perkins Magda Szubanski Deborah Mailman Comedy Drama Musical Jessica Mauboy
3556,John Singleton,Lloyd Avery II,Crime Drama,John Cothran,Boyz n the Hood,Na'Blonka Durden,John Singleton Lloyd Avery II John Cothran Crime Drama Na'Blonka Durden
3557,Luis Valdez,Rosanna DeSoto,Biography Drama Music,Esai Morales,La Bamba,Danielle von Zerneck,Luis Valdez Rosanna DeSoto Esai Morales Biography Drama Music Danielle von Zerneck
3558,Alan Alda,Len Cariou,Comedy Drama,Rita Moreno,The Four Seasons,Sandy Dennis,Alan Alda Len Cariou Rita Moreno Comedy Drama Sandy Dennis
3559,Brian De Palma,David Margulies,Mystery Romance Thriller,Angie Dickinson,Dressed to Kill,Nancy Allen,Brian De Palma David Margulies Angie Dickinson Mystery Romance Thriller Nancy Allen
3560,Stephen Sommers,Frances Conroy,Adventure Comedy Drama Family,Curtis Armstrong,The Adventures of Huck Finn,Anne Heche,Stephen Sommers Frances Conroy Curtis Armstrong Adventure Comedy Drama Family Anne Heche
3561,Doug Liman,Jay Mohr,Comedy Crime,Sarah Polley,Go,Scott Wolf,Doug Liman Jay Mohr Sarah Polley Comedy Crime Scott Wolf
3562,Nicole Holofcener,Marin Hinkle,Comedy Drama Romance,Greg Germann,Friends with Money,Jake Cherry,Nicole Holofcener Marin Hinkle Greg Germann Comedy Drama Romance Jake Cherry
3563,Robert Wise,Paula Kelly,Sci-Fi Thriller,David Wayne,The Andromeda Strain,Eric Christmas,Robert Wise Paula Kelly David Wayne Sci-Fi Thriller Eric Christmas
3564,Louis Morneau,Bob Gunton,Horror Sci-Fi Thriller,Leon,Bats,Ned Bellamy,Louis Morneau Bob Gunton Leon Horror Sci-Fi Thriller Ned Bellamy
3565,Caroline Link,Juliane Köhler,Biography Drama,Merab Ninidze,Nowhere in Africa,Matthias Habich,Caroline Link Juliane Köhler Merab Ninidze Biography Drama Matthias Habich
3566,Steve McQueen,Nicole Beharie,Drama,Michael Fassbender,Shame,James Badge Dale,Steve McQueen Nicole Beharie Michael Fassbender Drama James Badge Dale
3567,Matthew Vaughn,Sally Hawkins,Crime Drama Thriller,Tom Hardy,Layer Cake,Jamie Foreman,Matthew Vaughn Sally Hawkins Tom Hardy Crime Drama Thriller Jamie Foreman
3568,Sterling Van Wagenen,Eric Johnson,Drama Western,Emily Podleski,The Work and the Glory II: American Zion,Brenda Strong,Sterling Van Wagenen Eric Johnson Emily Podleski Drama Western Brenda Strong
3569,Zal Batmanglij,Julia Ormond,Drama Thriller,Alexander Skarsgård,The East,Jason Ritter,Zal Batmanglij Julia Ormond Alexander Skarsgård Drama Thriller Jason Ritter
3570,Michael Mayer,Matt Frewer,Drama Romance,Robin Wright,A Home at the End of the World,Sissy Spacek,Michael Mayer Matt Frewer Robin Wright Drama Romance Sissy Spacek
3571,Hans Petter Moland,Sara-Marie Maltha,Drama,Charlotte Rampling,Aberdeen,Stellan Skarsgård,Hans Petter Moland Sara-Marie Maltha Charlotte Rampling Drama Stellan Skarsgård
3572,Oren Moverman,Yaya DaCosta,Drama Romance War,Steve Buscemi,The Messenger,Eamonn Walker,Oren Moverman Yaya DaCosta Steve Buscemi Drama Romance War Eamonn Walker
3573,Ian Sharp,Jed Brophy,Action Adventure Drama Western,Ray Winstone,Tracker,Temuera Morrison,Ian Sharp Jed Brophy Ray Winstone Action Adventure Drama Western Temuera Morrison
3574,Anton Corbijn,Samantha Morton,Biography Drama Music,Sam Riley,Control,Alexandra Maria Lara,Anton Corbijn Samantha Morton Sam Riley Biography Drama Music Alexandra Maria Lara
3575,James Cameron,Brian Thompson,Action Sci-Fi,Michael Biehn,The Terminator,Paul Winfield,James Cameron Brian Thompson Michael Biehn Action Sci-Fi Paul Winfield
3576,Wolfgang Becker,Chulpan Khamatova,Drama Romance,Florian Lukas,Good Bye Lenin!,Burghart Klaußner,Wolfgang Becker Chulpan Khamatova Florian Lukas Drama Romance Burghart Klaußner
3577,Tom Hooper,Mark Bazeley,Biography Drama Sport,Stephen Graham,The Damned United,Maurice Roëves,Tom Hooper Mark Bazeley Stephen Graham Biography Drama Sport Maurice Roëves
3578,Dan O'Bannon,Clu Gulager,Comedy Horror Sci-Fi,Linnea Quigley,The Return of the Living Dead,Beverly Randolph,Dan O'Bannon Clu Gulager Linnea Quigley Comedy Horror Sci-Fi Beverly Randolph
3580,Kevin Smith,Jason Mewes,Comedy Romance,Ethan Suplee,Mallrats,Joey Lauren Adams,Kevin Smith Jason Mewes Ethan Suplee Comedy Romance Joey Lauren Adams
3581,Randal Kleiser,Stockard Channing,Musical Romance,Olivia Newton-John,Grease,Sid Caesar,Randal Kleiser Stockard Channing Olivia Newton-John Musical Romance Sid Caesar
3582,Oliver Stone,Tom Berenger,Drama War,Johnny Depp,Platoon,Kevin Dillon,Oliver Stone Tom Berenger Johnny Depp Drama War Kevin Dillon
3583,Michael Moore,Stevie Wonder,Documentary Drama War,Osama bin Laden,Fahrenheit 9/11,Ricky Martin,Michael Moore Stevie Wonder Osama bin Laden Documentary Drama War Ricky Martin
3584,George Roy Hill,Ted Cassidy,Biography Crime Drama Western,Katharine Ross,Butch Cassidy and the Sundance Kid,Kenneth Mars,George Roy Hill Ted Cassidy Katharine Ross Biography Crime Drama Western Kenneth Mars
3585,Robert Stevenson,Glynis Johns,Comedy Family Fantasy Musical,Ed Wynn,Mary Poppins,Elsa Lanchester,Robert Stevenson Glynis Johns Ed Wynn Comedy Family Fantasy Musical Elsa Lanchester
3586,Robert Redford,Elizabeth McGovern,Drama,Adam Baldwin,Ordinary People,Judd Hirsch,Robert Redford Elizabeth McGovern Adam Baldwin Drama Judd Hirsch
3587,Frank Coraci,Steve Coogan,Action Adventure Comedy,Jim Broadbent,Around the World in 80 Days,Cécile De France,Frank Coraci Steve Coogan Jim Broadbent Action Adventure Comedy Cécile De France
3588,Jerome Robbins,George Chakiris,Crime Drama Musical Romance Thriller,Rita Moreno,West Side Story,Richard Beymer,Jerome Robbins George Chakiris Rita Moreno Crime Drama Musical Romance Thriller Richard Beymer
3589,Harold Ramis,Rodney Dangerfield,Comedy Sport,Bill Murray,Caddyshack,Brian Doyle-Murray,Harold Ramis Rodney Dangerfield Bill Murray Comedy Sport Brian Doyle-Murray
3590,Gary Hardwick,Tatyana Ali,Comedy Drama,Julie Benz,The Brothers,Jenifer Lewis,Gary Hardwick Tatyana Ali Julie Benz Comedy Drama Jenifer Lewis
3591,Rick Famuyiwa,Tamala Jones,Comedy Drama Romance,Omar Epps,The Wood,Richard T. Jones,Rick Famuyiwa Tamala Jones Omar Epps Comedy Drama Romance Richard T. Jones
3592,Bryan Singer,Chazz Palminteri,Crime Drama Mystery Thriller,Kevin Spacey,The Usual Suspects,Kevin Pollak,Bryan Singer Chazz Palminteri Kevin Spacey Crime Drama Mystery Thriller Kevin Pollak
3593,Stephen Hopkins,Kelly Jo Minter,Fantasy Horror Romance Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child,Matthew Borlenghi,Stephen Hopkins Kelly Jo Minter Lisa Wilcox Fantasy Horror Romance Thriller Matthew Borlenghi
3594,Walt Becker,Curtis Armstrong,Comedy Romance,Ryan Reynolds,Van Wilder: Party Liaison,Erik Estrada,Walt Becker Curtis Armstrong Ryan Reynolds Comedy Romance Erik Estrada
3595,Darren Aronofsky,John D'Leo,Drama Sport,Mark Margolis,The Wrestler,Ajay Naidu,Darren Aronofsky John D'Leo Mark Margolis Drama Sport Ajay Naidu
3596,King Vidor,Lillian Gish,Drama Romance Western,Joseph Cotten,Duel in the Sun,Jennifer Jones,King Vidor Lillian Gish Joseph Cotten Drama Romance Western Jennifer Jones
3597,Christopher Guest,Catherine O'Hara,Comedy,John Michael Higgins,Best in Show,Michael McKean,Christopher Guest Catherine O'Hara John Michael Higgins Comedy Michael McKean
3598,John Carpenter,Adrienne Barbeau,Action Sci-Fi,Donald Pleasence,Escape from New York,Tom Atkins,John Carpenter Adrienne Barbeau Donald Pleasence Action Sci-Fi Tom Atkins
3599,Spike Lee,Ossie Davis,Comedy Drama Musical,Tisha Campbell-Martin,School Daze,Bill Nunn,Spike Lee Ossie Davis Tisha Campbell-Martin Comedy Drama Musical Bill Nunn
3600,Fred Savage,Brian Doyle-Murray,Comedy Family,Lochlyn Munro,Daddy Day Camp,Tamala Jones,Fred Savage Brian Doyle-Murray Lochlyn Munro Comedy Family Tamala Jones
3601,Sammo Kam-Bo Hung,Richard Norton,Action Comedy Crime,Sammo Kam-Bo Hung,Mr. Nice Guy,Rachel Blakely,Sammo Kam-Bo Hung Richard Norton Sammo Kam-Bo Hung Action Comedy Crime Rachel Blakely
3602,Christopher Guest,Christopher Guest,Comedy Music,Michael McKean,A Mighty Wind,Laura Harris,Christopher Guest Christopher Guest Michael McKean Comedy Music Laura Harris
3603,Donald Petrie,Lili Taylor,Comedy Drama Romance,Julia Roberts,Mystic Pizza,Conchata Ferrell,Donald Petrie Lili Taylor Julia Roberts Comedy Drama Romance Conchata Ferrell
3605,Peter Howitt,Kevin McNally,Comedy Drama Fantasy Romance,Jeanne Tripplehorn,Sliding Doors,John Lynch,Peter Howitt Kevin McNally Jeanne Tripplehorn Comedy Drama Fantasy Romance John Lynch
3606,Rusty Cundieff,Clarence Williams III,Comedy Horror Thriller,Corbin Bernsen,Tales from the Hood,David Alan Grier,Rusty Cundieff Clarence Williams III Corbin Bernsen Comedy Horror Thriller David Alan Grier
3607,Kevin Macdonald,Simon McBurney,Biography Drama History Thriller,David Oyelowo,The Last King of Scotland,Abby Mukiibi Nkaaga,Kevin Macdonald Simon McBurney David Oyelowo Biography Drama History Thriller Abby Mukiibi Nkaaga
3608,Dominique Othenin-Girard,Tamara Glynn,Horror Thriller,Donald Pleasence,Halloween 5,Troy Evans,Dominique Othenin-Girard Tamara Glynn Donald Pleasence Horror Thriller Troy Evans
3609,Richard Linklater,Brandon Smith,Comedy Crime Drama,Matthew McConaughey,Bernie,Rick Dial,Richard Linklater Brandon Smith Matthew McConaughey Comedy Crime Drama Rick Dial
3611,Ed Harris,Bud Cort,Biography Drama,John Heard,Pollock,Amy Madigan,Ed Harris Bud Cort John Heard Biography Drama Amy Madigan
3612,Risa Bramon Garcia,Dave Chappelle,Comedy Drama Romance,Janeane Garofalo,200 Cigarettes,Gaby Hoffmann,Risa Bramon Garcia Dave Chappelle Janeane Garofalo Comedy Drama Romance Gaby Hoffmann
3613,Brian Klugman,Bradley Cooper,Drama Mystery Romance Thriller,J.K. Simmons,The Words,Olivia Wilde,Brian Klugman Bradley Cooper J.K. Simmons Drama Mystery Romance Thriller Olivia Wilde
3614,Matt Piedmont,Adrian Martinez,Comedy Western,Will Ferrell,Casa de mi Padre,Luis E. Carazo,Matt Piedmont Adrian Martinez Will Ferrell Comedy Western Luis E. Carazo
3615,Raymond De Felitta,Curtiss Cook,Comedy Drama,Ezra Miller,City Island,Dominik García-Lorido,Raymond De Felitta Curtiss Cook Ezra Miller Comedy Drama Dominik García-Lorido
3616,John Michael McDonagh,Fionnula Flanagan,Comedy Crime Thriller,Don Cheadle,The Guard,Wale Ojo,John Michael McDonagh Fionnula Flanagan Don Cheadle Comedy Crime Thriller Wale Ojo
3617,Deb Hagan,Alona Tal,Comedy,Drake Bell,College,Haley Bennett,Deb Hagan Alona Tal Drake Bell Comedy Haley Bennett
3618,Sofia Coppola,Kathleen Turner,Drama Romance,Kirsten Dunst,The Virgin Suicides,Scott Glenn,Sofia Coppola Kathleen Turner Kirsten Dunst Drama Romance Scott Glenn
3619,Mark Herman,Annette Badland,Comedy Drama Music Romance,Jim Broadbent,Little Voice,Brenda Blethyn,Mark Herman Annette Badland Jim Broadbent Comedy Drama Music Romance Brenda Blethyn
3620,Zach Cregger,Windell Middlebrooks,Comedy Romance,Hugh M. Hefner,Miss March,Raquel Alessi,Zach Cregger Windell Middlebrooks Hugh M. Hefner Comedy Romance Raquel Alessi
3621,Zach Braff,Josh Gad,Comedy Drama,Jim Parsons,Wish I Was Here,Michael Weston,Zach Braff Josh Gad Jim Parsons Comedy Drama Michael Weston
3622,Mark Tarlov,Dylan Baker,Comedy Drama Fantasy Romance,Sarah Michelle Gellar,Simply Irresistible,Lawrence Gilliard Jr.,Mark Tarlov Dylan Baker Sarah Michelle Gellar Comedy Drama Fantasy Romance Lawrence Gilliard Jr.
3624,John Cameron Mitchell,Miriam Shor,Comedy Drama Music Musical,John Cameron Mitchell,Hedwig and the Angry Inch,Andrea Martin,John Cameron Mitchell Miriam Shor John Cameron Mitchell Comedy Drama Music Musical Andrea Martin
3625,Sheldon Lettich,Ryan Bollman,Action Drama,Antoni Corone,Only the Strong,Todd Susman,Sheldon Lettich Ryan Bollman Antoni Corone Action Drama Todd Susman
3626,Jon Knautz,Monda Scott,Drama Horror Mystery Thriller,Rachel Alig,Goddess of Love,Alexis Kendra,Jon Knautz Monda Scott Rachel Alig Drama Horror Mystery Thriller Alexis Kendra
3627,Billy Ray,Rosario Dawson,Drama History,Hayden Christensen,Shattered Glass,Cas Anvar,Billy Ray Rosario Dawson Hayden Christensen Drama History Cas Anvar
3628,David Atkins,Lynne Thigpen,Comedy Crime Drama Thriller,Chelcie Ross,Novocaine,Polly Noonan,David Atkins Lynne Thigpen Chelcie Ross Comedy Crime Drama Thriller Polly Noonan
3629,Patrick Stettner,Tony Devon,Drama Thriller,Stockard Channing,The Business of Strangers,Frederick Weller,Patrick Stettner Tony Devon Stockard Channing Drama Thriller Frederick Weller
